Категория 1,Категория 2,Категория 3,Синонимы (ключевые слова-триггеры),Строк,Кат4 — что это,Категория 4 (значения),Кат5 — что это,Категория 5 — конкретные стандарты / значения
Крепежные изделия,Гайка,Нержавеющий,"гайк, nut   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",8887,Стандарт — семейство,ASME; DIN,Конкретный стандарт,ASME B18.2.2; ASME B18.2.4.6; ASME B18.2.4.1; DIN 934; DIN 985; DIN 431; DIN 2510; ASME B18.31.1
Крепежные изделия,Гайка,Черный,"гайк, nut   •   металл: уровень «1_Черный» / по умолчанию",4544,Стандарт — семейство,ASME; DIN; EN; JIS; ASTM,Конкретный стандарт,ASME B18.2.2; ASME B18.2.4.1; DIN 934; DIN 985; DIN 936; DIN 1624; EN 10269; DIN 439; DIN 1587; DIN 2510; ASME B18.2.4.6; JIS B1181; EN 14399-4; ASTM A194; DIN 6334
Крепежные изделия,Шпилька,Нержавеющий,"шпильк, stud   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",5707,Стандарт — семейство,ASME; DIN,Конкретный стандарт,ASME B18.31.2; ASME B18.31.1; DIN 976; DIN 975; ASME B 18.31.1; По чертежу
Крепежные изделия,Шпилька,Черный,"шпильк, stud   •   металл: уровень «1_Черный» / по умолчанию",2273,Стандарт — семейство,ASME; DIN; EN; ASTM,Конкретный стандарт,ASME B18.31.2; ASME B18.31.1; По чертежу; DIN 976; DIN 975; DIN 938; EN 10269; ASME B18.31; ASTM A193
Крепежные изделия,Шайба,Нержавеющий,"шайб, washer   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",399,Стандарт — семейство,ASME; DIN,Конкретный стандарт,ASME B18.21.1; DIN 25201; DIN 125; DIN 9021; ASME B18.22; DIN 7349; DIN 436; DIN 6796
Крепежные изделия,Шайба,Черный,"шайб, washer   •   металл: уровень «1_Черный» / по умолчанию",57,Стандарт — семейство,DIN; ASME; JIS,Конкретный стандарт,DIN 125; DIN 127; DIN 9021; ASME B18.21.1; DIN 7349; DIN 967; JIS B 1256; DIN 6796; DIN 435
Крепежные изделия,Комплекты,Черный,≥2 разных вида в «Номенклатуре»: шпилька + болт + гайка + шайба   •   металл: уровень «1_Черный» / по умолчанию,358,Стандарт — семейство,ASME; ASTM / ASME; DIN,Конкретный стандарт,ASME B18.31.2; ASTM A193; ASTM A453; По чертежу; ASME B18.31.1; ASTM A194; ASTM A320; DIN 2510
Крепежные изделия,Комплекты,Нержавеющий,"≥2 разных вида в «Номенклатуре»: шпилька + болт + гайка + шайба   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",97,Стандарт — семейство,ASME; ASTM; DIN; ASTM / ASME,Конкретный стандарт,ASME B18.31.2; ASTM F593; DIN 2510; ASTM A453
Крепежные изделия,Болт,Черный,"болт, bolt, u-bolt, ubolt, u-образ, у-образ   •   металл: уровень «1_Черный» / по умолчанию",102,Стандарт — семейство,DIN; ASME; ASTM,Конкретный стандарт,DIN 933; DIN 931; DIN 580; По чертежу; ASME B18.2.3.5; ASME B18.2.2; ASME B18.2.3.1; DIN 609; ASTM A320; ASME B18.15; ASTM A193; DIN 444; DIN 3570
Крепежные изделия,Болт,Нержавеющий,"болт, bolt, u-bolt, ubolt, u-образ, у-образ   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",36,Стандарт — семейство,DIN; ASME; ASTM,Конкретный стандарт,DIN 933; ASME B18.2.1; DIN 603; ASME B18.2.3.5; ASTM F593; DIN 931; DIN 444
Крепежные изделия,Винт,Черный,"винт, screw   •   металл: уровень «1_Черный» / по умолчанию",34,Стандарт — семейство,DIN; ASTM; EN; ASME,Конкретный стандарт,DIN 912; ASTM A320; DIN 7985; DIN 963; EN 10269; DIN 6912; DIN 965; DIN 7984; ASME B18.2.1; ASME B18.3
Крепежные изделия,Винт,Нержавеющий,"винт, screw   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",10,Стандарт — семейство,DIN,Конкретный стандарт,DIN 6912
Крепежные изделия,—,Черный,крепёж без опознанного вида   •   металл: уровень «1_Черный» / по умолчанию,31,Стандарт — семейство,DIN; EN,Конкретный стандарт,DIN 1481; DIN 6796; EN 10025-2; JIS H 4040; DIN 7504
Крепежные изделия,—,Нержавеющий,"крепёж без опознанного вида   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",10,Стандарт — семейство,DIN,Конкретный стандарт,DIN 7504; DIN 1481
Крепежные изделия,Анкерный крепеж,Черный,"анкер, anchor   •   металл: уровень «1_Черный» / по умолчанию",6,Стандарт — семейство,—,Конкретный стандарт,—
Фитинги,"Отвод, колено, уголок",Нержавеющий,"отвод, колено, уголок, elbow, return   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",629,Стандарт — семейство,EN; ASME; ASTM,Конкретный стандарт,EN 10253-4; ASME B16.9; ASME B16.11; По чертежу; EN 10253-2; ASTM A240/A240M; EN 10253-3
Фитинги,"Отвод, колено, уголок",Черный,"отвод, колено, уголок, elbow, return   •   металл: уровень «1_Черный» / по умолчанию",623,Стандарт — семейство,ASME; EN; ASTM; JIS; DIN; MSS,Конкретный стандарт,ASME B16.9; EN 10253-2; По чертежу; ASME B16.11; ASTM A387; MSS SP-75; DIN 2605; JIS B2313; JIS H3300; ASME B16.28; DIN 1626; JIS B2312
Фитинги,Переход,Нержавеющий,"переход, reducer, swage   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",354,Стандарт — семейство,ASME; EN; MSS,Конкретный стандарт,ASME B16.9; EN 10253-4; ASME B16.11; MSS SP-95; По чертежу; EN 10241; EN 10253-3
Фитинги,Переход,Черный,"переход, reducer, swage   •   металл: уровень «1_Черный» / по умолчанию",231,Стандарт — семейство,ASME; EN; MSS; DIN; JIS,Конкретный стандарт,ASME B16.9; MSS SP-95; EN 10253-2; По чертежу; ASME B16.11; DIN 2616; EN 10241; JIS B2313
Фитинги,Тройник,Черный,"тройник, tee   •   металл: уровень «1_Черный» / по умолчанию",256,Стандарт — семейство,ASME; EN; MSS; DIN,Конкретный стандарт,ASME B16.9; EN 10253-2; По чертежу; ASME B16.11; MSS SP-75; DIN 2615
Фитинги,Тройник,Нержавеющий,"тройник, tee   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",241,Стандарт — семейство,ASME; EN; ASTM,Конкретный стандарт,ASME B16.9; EN 10253-4; ASME B16.11; ASTM A240/A240M; EN 10253-3; EN 10241
Фитинги,Бобышка,Черный,"бобышк, olet, weldolet, sockolet   •   металл: уровень «1_Черный» / по умолчанию",316,Стандарт — семейство,MSS; ASME; JIS,Конкретный стандарт,MSS SP-97; ASME B 16.25; JIS G3101; ASME B16.5
Фитинги,Бобышка,Нержавеющий,"бобышк, olet, weldolet, sockolet   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",18,Стандарт — семейство,MSS; ASME,Конкретный стандарт,MSS SP-97; ASME B16.5
Фитинги,"Заглушка, крышка",Нержавеющий,"заглуш, cap, крышк   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",113,Стандарт — семейство,ASME; EN; ASTM; JIS,Конкретный стандарт,ASME B16.9; EN 10253-4; ASME B16.11; EN 10241; ASTM A240/A240M; По чертежу; JIS B2312
Фитинги,"Заглушка, крышка",Черный,"заглуш, cap, крышк   •   металл: уровень «1_Черный» / по умолчанию",30,Стандарт — семейство,ASME; EN; DIN,Конкретный стандарт,ASME B16.9; ASME B16.11; EN 10253-2; По чертежу; DIN 2617
Фитинги,"Ниппель, сгон",Черный,"ниппел, сгон, nipple   •   металл: уровень «1_Черный» / по умолчанию",57,Стандарт — семейство,ASTM / ASME; EN; ASME; ASTM,Конкретный стандарт,ASTM A733; EN 10241; ASTM A333; EN 10255
Фитинги,"Ниппель, сгон",Нержавеющий,"ниппел, сгон, nipple   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",40,Стандарт — семейство,EN; ASTM / ASME; ASME,Конкретный стандарт,EN 10241; ASTM A733; ASME B16.11
Фитинги,"Муфта, американка",Черный,"муфта, coupling, union, американк   •   металл: уровень «1_Черный» / по умолчанию",53,Стандарт — семейство,MSS; ASME; EN; JIS,Конкретный стандарт,MSS SP-83; ASME B16.11; EN 10241; JIS H3300
Фитинги,"Муфта, американка",Нержавеющий,"муфта, coupling, union, американк   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",42,Стандарт — семейство,EN; ASME; MSS,Конкретный стандарт,EN 10241; ASME B16.11; MSS SP-83
Фитинги,Пробка,Нержавеющий,"пробк, plug   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",27,Стандарт — семейство,ASME; EN,Конкретный стандарт,ASME B16.11; EN 10241
Фитинги,Пробка,Черный,"пробк, plug   •   металл: уровень «1_Черный» / по умолчанию",12,Стандарт — семейство,ASME; EN,Конкретный стандарт,ASME B16.11; EN 10241
Фитинги,—,Нержавеющий,"фитинг без опознанного подтипа   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",19,Стандарт — семейство,ASTM; ASME,Конкретный стандарт,ASTM A240/A240M; По чертежу; ASME B16.9
Фитинги,—,Черный,фитинг без опознанного подтипа   •   металл: уровень «1_Черный» / по умолчанию,8,Стандарт — семейство,ASME; EN,Конкретный стандарт,ASME B16.9; ASME B16.11; EN 10241
Фитинги,Штуцер,Черный,"штуцер, nozzle   •   металл: уровень «1_Черный» / по умолчанию",11,Стандарт — семейство,ASME,Конкретный стандарт,По чертежу; ASME B 16.11
Фитинги,Крестовина,Нержавеющий,"крестовин, cross   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",7,Стандарт — семейство,ASME,Конкретный стандарт,ASME B16.9
Фланцы,Воротниковый,Нержавеющий,"wn, воротник, type 11   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",511,Стандарт — семейство,ASME; EN; ASTM; ASTM / ASME,Конкретный стандарт,ASME B16.5; EN 1092; EN 1092-1; ASTM A182; ASME B16.36; ASME B16.47; ASME B 16.5
Фланцы,Воротниковый,Черный,"wn, воротник, type 11   •   металл: уровень «1_Черный» / по умолчанию",217,Стандарт — семейство,ASME; EN; API; JIS,Конкретный стандарт,ASME B16.5; EN 1092; ASME B16.47; EN 1092-1; ASME B 16.5; API 6A; JIS B2220; По чертежу; ASME B16.36
Фланцы,Глухой,Черный,"bl, blind, глух   •   металл: уровень «1_Черный» / по умолчанию",200,Стандарт — семейство,ASME; EN; API,Конкретный стандарт,ASME B16.5; ASME B16.47; EN 1092-1; API 6A
Фланцы,Глухой,Нержавеющий,"bl, blind, глух   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",81,Стандарт — семейство,ASME; EN,Конкретный стандарт,ASME B16.5; EN 1092-1; EN 1092
Фланцы,Заглушка поворотная,Черный,"b16.48, spectacle, paddle, spacer   •   металл: уровень «1_Черный» / по умолчанию",127,Стандарт — семейство,ASME,Конкретный стандарт,ASME B16.48; По чертежу
Фланцы,Заглушка поворотная,Нержавеющий,"b16.48, spectacle, paddle, spacer   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",38,Стандарт — семейство,ASTM / ASME; ASME,Конкретный стандарт,ASTM A240; ASME B16.48; По чертежу; ASME B16.5
Фланцы,Раструбный,Нержавеющий,"sw, раструб   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",110,Стандарт — семейство,ASME,Конкретный стандарт,ASME B16.5
Фланцы,Раструбный,Черный,"sw, раструб   •   металл: уровень «1_Черный» / по умолчанию",24,Стандарт — семейство,ASME,Конкретный стандарт,ASME B16.5
Фланцы,—,Черный,фланец без опознанного типа   •   металл: уровень «1_Черный» / по умолчанию,43,Стандарт — семейство,ASME; JIS; EN,Конкретный стандарт,ASME B16.5; По чертежу; EN 10269; JIS B2220; EN 1092-1
Фланцы,—,Нержавеющий,"фланец без опознанного типа   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",28,Стандарт — семейство,EN; ASME,Конкретный стандарт,По чертежу; EN 1092
Фланцы,Свободный,Черный,"lj, свободн, lap joint, type 02   •   металл: уровень «1_Черный» / по умолчанию",58,Стандарт — семейство,EN; ASME,Конкретный стандарт,EN 1092-1; ASME B16.5; По чертежу
Фланцы,Свободный,Нержавеющий,"lj, свободн, lap joint, type 02   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",10,Стандарт — семейство,EN,Конкретный стандарт,EN 1092-1
Фланцы,"Отбортовка, втулка, кольцо",Нержавеющий,"отборт, втулк, кольц, type 32   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",61,Стандарт — семейство,EN,Конкретный стандарт,EN 1092-1; По чертежу
Фланцы,"Отбортовка, втулка, кольцо",Черный,"отборт, втулк, кольц, type 32   •   металл: уровень «1_Черный» / по умолчанию",6,Стандарт — семейство,—,Конкретный стандарт,—
Фланцы,Плоский,Черный,"so, плоск, slip-on, type 01   •   металл: уровень «1_Черный» / по умолчанию",27,Стандарт — семейство,JIS; ASME; EN,Конкретный стандарт,JIS B2220; ASME B16.5; EN 1092-1
Фланцы,Плоский,Нержавеющий,"so, плоск, slip-on, type 01   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",16,Стандарт — семейство,EN; ASME,Конкретный стандарт,EN 1092-1; ASME B16.5; EN 1092
Фланцы,Резьбовой,Нержавеющий,"резьб, thrd, thread   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",7,Стандарт — семейство,ASME; EN,Конкретный стандарт,По чертежу; ASME B16.5; EN 1092-1
Фланцы,Резьбовой,Черный,"резьб, thrd, thread   •   металл: уровень «1_Черный» / по умолчанию",7,Стандарт — семейство,ASME,Конкретный стандарт,ASME B16.5
Фланцы,Ответный,Черный,api 6a   •   металл: уровень «1_Черный» / по умолчанию,5,Стандарт — семейство,API,Конкретный стандарт,API 6A
Фланцевая прокладка,Полуметаллическая,Черный,"спираль, swg, spiral wound, навит   •   металл: уровень «1_Черный» / по умолчанию",650,Стандарт — семейство,ASME; EN,Конкретный стандарт,ASME B16.20; EN 1514-2
Фланцевая прокладка,Полуметаллическая,Нержавеющий,"спираль, swg, spiral wound, навит   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",1,Стандарт — семейство,EN,Конкретный стандарт,EN 1514-2
Фланцевая прокладка,Металлическая,Черный,"rtj, ring joint, металл   •   металл: уровень «1_Черный» / по умолчанию",133,Стандарт — семейство,ASME; API,Конкретный стандарт,ASME B16.20; ASME B16.21; По чертежу; API 6A
Фланцевая прокладка,Металлическая,Нержавеющий,"rtj, ring joint, металл   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",1,Стандарт — семейство,EN,Конкретный стандарт,EN 12560-5
Фланцевая прокладка,Неметаллическая,Не металл,"ptfe, тефлон, фторопласт, резин, графит, неметалл   •   ptfe/резин/графит/неметалл",45,Стандарт — семейство,EN; ASME,Конкретный стандарт,ASME B16.21; EN 1514-1; EN 1514-2; ASME B16.20
Трубы,Труба круглая,Черный,"труба, pipe, tube  (по умолчанию)   •   металл: уровень «1_Черный» / по умолчанию",1003,Стандарт — семейство,ASTM / ASME; EN; JIS; ASTM; DIN; API; ASME,Конкретный стандарт,ASTM A333; ASTM A335; JIS G3454; EN 10216; EN 10216-2; ASTM A106; EN 10305-1; EN 10216-1; EN 10210; API 5L; EN 10305-4; JIS H3300; ASTM A671; ASTM A210; EN 10217; EN 10297-1; EN 10217-2; По чертежу; ASTM A564; ASTM A691; EN 10219; DIN 2448; EN 10305; EN 10297; ASTM A790; ASTM A789; ТУ 14-3; ASTM A213; JIS G3459; DIN 2458; ASTM A672
Трубы,Труба круглая,Нержавеющий,"труба, pipe, tube  (по умолчанию)   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",668,Стандарт — семейство,ASTM / ASME; EN; ASTM,Конкретный стандарт,ASTM A312; EN 10217-7; EN 10216-5; ASTM A790; ASTM A240/A240M; ASTM A269; ASTM A213; ASTM A358; ASTM A789; EN 10216; EN 10297; ASTM A376; ASTM A268; ASTM A928
Трубы,Труба профильная,Черный,"профильн, profile   •   металл: уровень «1_Черный» / по умолчанию",103,Стандарт — семейство,EN,Конкретный стандарт,EN 10219; EN 10210; EN 10210-2
Трубы,Труба профильная,Нержавеющий,"профильн, profile   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",14,Стандарт — семейство,ASTM; EN,Конкретный стандарт,ASTM A554; EN 10210
Трубы,Трубная заготовка,Нержавеющий,"трубная заготовк, заготовк   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",7,Стандарт — семейство,ASTM; ASTM / ASME,Конкретный стандарт,ASTM A511
Трубы,Трубная заготовка,Черный,"трубная заготовк, заготовк   •   металл: уровень «1_Черный» / по умолчанию",4,Стандарт — семейство,ASTM; ASTM / ASME,Конкретный стандарт,ASTM A511
"Листовой прокат (лист, лента, рулон)",Лист,Черный,лист   •   металл: уровень «1_Черный» / по умолчанию,208,Стандарт — семейство,EN; ASTM,Конкретный стандарт,EN 10025-2; EN 10028-2; EN 10025-6; ASTM A516; EN 10025-3; EN 10225; EN 10149-2; EN 10130; EN 10028-3; EN 10346; ASTM A131; EN 10025-4; ASTM A537; EN 10083-3; EN 10028-4; ASTM A387; EN 485
"Листовой прокат (лист, лента, рулон)",Лист,Нержавеющий,"лист   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",166,Стандарт — семейство,ASTM; EN,Конкретный стандарт,ASTM A240; EN 10088-2; EN 10269; EN 10028-7; EN 10028-2; EN 10088-4; EN 10095; EN 10025-2
"Листовой прокат (лист, лента, рулон)",Лента,Нержавеющий,"лент   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",11,Стандарт — семейство,ASTM; EN,Конкретный стандарт,ASTM A240; EN 10028-7
"Листовой прокат (лист, лента, рулон)",Лента,Черный,лент   •   металл: уровень «1_Черный» / по умолчанию,7,Стандарт — семейство,EN,Конкретный стандарт,EN 1179; EN 10132-4
"Листовой прокат (лист, лента, рулон)",—,Черный,форма не определена по «Номенклатуре»   •   металл: уровень «1_Черный» / по умолчанию,16,Стандарт — семейство,ASTM,Конкретный стандарт,ASTM A693
"Листовой прокат (лист, лента, рулон)",—,Нержавеющий,"форма не определена по «Номенклатуре»   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",1,Стандарт — семейство,—,Конкретный стандарт,—
"Листовой прокат (лист, лента, рулон)",Рулон,Черный,"рулон, coil, штрипс   •   металл: уровень «1_Черный» / по умолчанию",4,Стандарт — семейство,ASTM; EN,Конкретный стандарт,ASTM B443; EN 10132-4
"Листовой прокат (лист, лента, рулон)",Рулон,Нержавеющий,"рулон, coil, штрипс   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",4,Стандарт — семейство,ASTM,Конкретный стандарт,ASTM A240
Прутки,Круг,Нержавеющий,"круг, прут   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",237,Стандарт — семейство,ASTM; EN,Конкретный стандарт,ASTM A276; ASTM A564; EN 10088-3; ASTM A182; ASTM A479; EN 10088-5; EN 10269; ASTM A479/A479M; EN 10060; EN 10095
Прутки,Круг,Черный,"круг, прут   •   металл: уровень «1_Черный» / по умолчанию",111,Стандарт — семейство,EN; ASTM; DIN; JIS,Конкретный стандарт,EN 10025-2; EN 10273; ASTM A564; EN 10083-2; EN 10269; DIN 17350; JIS G3101; ASTM A29; ASTM A747; ASTM A694
Прутки,Полоса,Черный,полоса   •   металл: уровень «1_Черный» / по умолчанию,25,Стандарт — семейство,EN,Конкретный стандарт,EN 10025-2
Прутки,Полоса,Нержавеющий,"полоса   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",14,Стандарт — семейство,EN,Конкретный стандарт,EN 10088-2; EN 10028-7
Прутки,Шестигранник,Нержавеющий,"шестигран   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",14,Стандарт — семейство,ASTM,Конкретный стандарт,ASTM A276
Прутки,Квадрат,Черный,квадрат   •   металл: уровень «1_Черный» / по умолчанию,4,Стандарт — семейство,EN,Конкретный стандарт,EN 10025-2; EN 10277-2
Прутки,Квадрат,Нержавеющий,"квадрат   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",1,Стандарт — семейство,ASTM,Конкретный стандарт,ASTM A276
Балки,Балка двутавровая,Черный,"двутавр (по 4-му уровню); heb, hea, hem, ipe, ipn   •   металл: уровень «1_Черный» / по умолчанию",84,Серия профиля,HEB; HEA; IPN; IPE; H,Типоразмер,HEB 160; HEB 100; HEA 160; HEB 120; 50; H 175; H 100; H 125; H 150; HEB 140; IPN 100; HEA 140; HEB 300; IPN 450; IPE 100; IPN 140; IPN 160; IPE 200; HEA 100; IPN 240; IPE 300; IPE 270; HEA 240; 610; HEA 220; HEA 280; HEA 200; HEB 240; HEB 260; HEA 1000; HEA 800; IPE 220; IPN 360; IPN 320; IPE 80; HEA 180; 200; IPE 140; HEB 200; IPE 180; IPN 180; IPN 200
Балки,Балка двутавровая,Нержавеющий,"двутавр (по 4-му уровню); heb, hea, hem, ipe, ipn   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",3,Серия профиля,HEB; IPE,Типоразмер,HEB 120; IPE 200; HEB 140
Балки,Балка тавровая,Черный,тавр  (не двутавр)   •   металл: уровень «1_Черный» / по умолчанию,4,Серия профиля,—,Типоразмер,577
