Категория 1,Категория 2,Категория 3,Синонимы (ключевые слова-триггеры),Строк,Кат4 — что это,Категория 4 (значения),Кат5 — что это,Категория 5 — конкретные стандарты / значения
Профили,Швеллеры,Черный,"швеллер, upn, upe, pfc   •   металл: уровень «1_Черный» / по умолчанию",87,Серия профиля,UPN; UPE; PFC,Типоразмер,UPN 160; UPN 140; UPN 400; UPN 200; UPN 100; UPE 160; UPN 240; UPN 180; UPN 120; UPE 100; UPN 80; UPE 180; UPE 200; UPE 80; UPN 320; UPN 300; UPN 260; UPN 220; UPE 240; PFC 125; UPN 50; 140; UPE 140; UPE 120; UPE 270
Профили,Швеллеры,Нержавеющий,"швеллер, upn, upe, pfc   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",4,Серия профиля,UPN,Типоразмер,UPN 100; UPN 120; UPN 300
Профили,Уголок,Черный,уголок   •   металл: уровень «1_Черный» / по умолчанию,22,Серия профиля,—,Типоразмер,60; 40; 100; 250; 150; 125; 75; 120; 70; 80
Профили,Уголок,Нержавеющий,"уголок   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",11,Серия профиля,—,Типоразмер,100; 50; 160; 25; 75; 80
Профили,Шпунт,Черный,шпунт   •   металл: уровень «1_Черный» / по умолчанию,28,Серия профиля,—,Типоразмер,6050; 5050; 4013; 4014; 4012; 4336
Профили,Профили,Черный,профил  (по умолчанию)   •   металл: уровень «1_Черный» / по умолчанию,2,Серия профиля,—,Типоразмер,113; 300
Проволока,В катушках,Черный,катуш   •   металл: уровень «1_Черный» / по умолчанию,3,Стандарт — семейство,EN,Конкретный стандарт,EN 10263-4
Проволока,Пружинная,Нержавеющий,"пружин   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",2,Стандарт — семейство,EN,Конкретный стандарт,EN 10270-1
Проволока,—,Черный,проволок   •   металл: уровень «1_Черный» / по умолчанию,2,Стандарт — семейство,—,Конкретный стандарт,—
Поковка (заготовка),Поковка,Черный,"поковк, forging, заготовк   •   металл: уровень «1_Черный» / по умолчанию",92,Стандарт — семейство,EN; ASTM,Конкретный стандарт,EN 10222-2; ASTM A668
Поковка (заготовка),Поковка,Нержавеющий,"поковк, forging, заготовк   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",30,Стандарт — семейство,ASTM,Конкретный стандарт,ASTM A479
Поковка (заготовка),Круглая поковка,Нержавеющий,"круг  (в поковке)   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",11,Стандарт — семейство,EN; ASTM,Конкретный стандарт,EN 10222-5; ASTM A182
Поковка (заготовка),Круглая поковка,Черный,круг  (в поковке)   •   металл: уровень «1_Черный» / по умолчанию,10,Стандарт — семейство,ASTM; EN,Конкретный стандарт,ASTM A668; EN 10222-2; ASTM A694
Днище,Заготовка,Нержавеющий,"заготов  (в тексте про днище)   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",24,Стандарт — семейство,EN,Конкретный стандарт,ГОСТ 34347-2017
Днище,Днище,Черный,днищ   •   металл: уровень «1_Черный» / по умолчанию,9,Стандарт — семейство,ГОСТ; ASTM,Конкретный стандарт,По чертежу
Днище,Днище,Нержавеющий,"днищ   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",1,Стандарт — семейство,ASTM,Конкретный стандарт,По чертежу
Специальные листы,Износостойкие листы,Quard,"бренд «Quard» в тексте износостойкого листа (напр. Quard 450, Quard-500, Quard400)",543,"Твёрдость, HB",450; 500; 400,"Толщина, мм",10; 6; 8; 20; 50; 4; 12; 15; 25; 40; 5; 30; 10.1; 16; 60; 3.2
Специальные листы,Износостойкие листы,Rexard,"бренд «Rexard» в тексте износостойкого листа (напр. Rexard 450, Rexard-500, Rexard400)",276,"Твёрдость, HB",450; 500,"Толщина, мм",20; 15; 12; 300; 10.1; 30; 50; 8; 25; 40; 6; 10; 5; 16; 150; 287; 290; 280; 80
Специальные листы,Износостойкие листы,NM,"бренд «NM» в тексте износостойкого листа (напр. NM 450, NM-500, NM400)",33,"Твёрдость, HB",500; 450,"Толщина, мм",10; 50; 12; 3.2; 20; 8; 6; 16; 15; 25
Специальные листы,Износостойкие листы,Dillidur,"бренд «Dillidur» в тексте износостойкого листа (напр. Dillidur 450, Dillidur-500, Dillidur400)",14,"Твёрдость, HB",500; 400,"Толщина, мм",100; 80; 20; 60; 50; 120; 90; 40; 70
Специальные листы,Износостойкие листы,Sidur,"бренд «Sidur» в тексте износостойкого листа (напр. Sidur 450, Sidur-500, Sidur400)",4,"Твёрдость, HB",450,"Толщина, мм",10.1; 6
Специальные листы,Износостойкие листы,Raex,"бренд «Raex» в тексте износостойкого листа (напр. Raex 450, Raex-500, Raex400)",4,"Твёрдость, HB",400,"Толщина, мм",10; 12
Специальные листы,Износостойкие листы,Hardox,"бренд «Hardox» в тексте износостойкого листа (напр. Hardox 450, Hardox-500, Hardox400)",3,"Твёрдость, HB",450; 500,"Толщина, мм",20; 150; 10
Трубопроводная арматура (ТПА),Кран,Кран шаровой,группа (Кат2): кран   •   подтип (Кат3): по умолч. для «Кран»,342,DN (диаметр),DN50; DN15; DN25; DN100; DN20,Стандарт,EN 1983; ASTM A182; ASTM A352; API 6D; ASTM A350
Трубопроводная арматура (ТПА),Кран,Клапан запорно-регулирующий,"группа (Кат2): кран   •   подтип (Кат3): регулир, control, сегмент",7,DN (диаметр),DN65; DN80,Стандарт,—
Трубопроводная арматура (ТПА),Клапан,Клапан запорный,группа (Кат2): клапан   •   подтип (Кат3): по умолч. для «Клапан»,139,DN (диаметр),DN80; DN50; DN25; DN200,Стандарт,ASTM A352; ASTM A351; ASTM A217; API 623; По чертежу; ASTM A216; ASTM A105; ASTM A350
Трубопроводная арматура (ТПА),Клапан,Клапан обратный,группа (Кат2): клапан   •   подтип (Кат3): обратн,30,DN (диаметр),DN150; DN80; DN200; DN65; DN100; DN50,Стандарт,API 6D; ASTM A352; ASTM A351; API 594; ASTM A350; ASTM A182; ASME B16.34
Трубопроводная арматура (ТПА),Клапан,Клапан предохранительный,группа (Кат2): клапан   •   подтип (Кат3): предохран,19,DN (диаметр),—,Стандарт,—
Трубопроводная арматура (ТПА),Клапан,Клапан запорно-регулирующий,"группа (Кат2): клапан   •   подтип (Кат3): регулир, control, сегмент",7,DN (диаметр),DN25; DN 250,Стандарт,ASTM A217
Трубопроводная арматура (ТПА),Клапан,Нержавеющий,группа (Кат2): клапан   •   подтип (Кат3): металл,1,DN (диаметр),—,Стандарт,ASME B16.34
Трубопроводная арматура (ТПА),Задвижка,Задвижка клиновая,группа (Кат2): задвиж   •   подтип (Кат3): по умолч. для «Задвижка»,111,DN (диаметр),DN80; DN150; DN25; DN250,Стандарт,ASTM A350; API 602; ASTM A352; API 600; ASTM A182; ASTM A351; ASTM A217; ASTM A216
Трубопроводная арматура (ТПА),—,—,группа (Кат2): ТПА без опознанной группы   •   подтип (Кат3): —,69,DN (диаметр),DN200; DN25,Стандарт,ASTM A350; ASME B16.34; ASME B16.20; ASTM A216; ASTM A352; ASTM A182; EN 1514-2
Трубопроводная арматура (ТПА),Затвор дисковый,Затвор дисковый,группа (Кат2): затвор   •   подтип (Кат3): затвор,29,DN (диаметр),DN150; DN350; DN100; DN200; DN250; DN50; DN125; DN500; DN80; DN400,Стандарт,ASTM A352
Трубопроводная арматура (ТПА),Компенсатор,Компенсатор,группа (Кат2): компенсатор   •   подтип (Кат3): компенсатор,6,DN (диаметр),DN325; DN400; DN50; DN1000; DN65,Стандарт,—
Трубопроводная арматура (ТПА),Конденсатоотводчик,Конденсатоотводчик,группа (Кат2): конденсатоотводчик   •   подтип (Кат3): конденсатоотводчик,3,DN (диаметр),DN 3; DN25,Стандарт,ASTM A350
Трубопроводная арматура (ТПА),Регулятор давления,Регулятор давления,группа (Кат2): регулятор   •   подтип (Кат3): регулятор,3,DN (диаметр),DN40; DN50,Стандарт,—
Рельсы и рельсовый крепеж,Рельсы,Beket,"рельс, rail, gantrex, beket   •   бренд (Кат3): beket",45,Тип изделия,Прокладка; Прижимная планка,Стандарт,По чертежу
Рельсы и рельсовый крепеж,Рельсы,—,"рельс, rail, gantrex, beket   •   бренд (Кат3): бренд не определён",35,Тип изделия,Прокладка,Стандарт,DIN 536
Рельсы и рельсовый крепеж,Рельсы,Gantrex,"рельс, rail, gantrex, beket   •   бренд (Кат3): gantrex",15,Тип изделия,Прокладка,Стандарт,—
Рельсы и рельсовый крепеж,Рельсы,Valente,"рельс, rail, gantrex, beket   •   бренд (Кат3): valente",1,Тип изделия,Прокладка,Стандарт,—
Рельсы и рельсовый крепеж,Рельсовый крепеж,—,"прижимн, планк, зажим, крепеж   •   бренд (Кат3): бренд не определён",1,Тип изделия,—,Стандарт,—
Никель,Прутки,Никель,"Кат1=Никель: inconel, monel, hastelloy, incoloy, nimonic; alloy 200/400/600/625/718/800/825; UNS Nxxxxx; никелевый   •   форма (Кат2): прут, круг",121,Стандарт — семейство,ASTM; EN,Конкретный стандарт,EN 10302; ASTM B637; ASTM B166; ASTM B446; ASTM B408; ASTM B574; ASTM B865; ASTM B160; ASTM B564; ASTM B425
Никель,Прутки,Медь-никель,"Кат1=Никель: cu-ni, cuni, медно-никел   •   форма (Кат2): прут, круг",7,Стандарт — семейство,ASTM,Конкретный стандарт,ASTM B929
Никель,Лист,Никель,"Кат1=Никель: inconel, monel, hastelloy, incoloy, nimonic; alloy 200/400/600/625/718/800/825; UNS Nxxxxx; никелевый   •   форма (Кат2): лист",124,Стандарт — семейство,EN; ASTM,Конкретный стандарт,EN 10302; ASTM B575; ASTM B168; EN 10095; ASTM B162; ASTM B637; ASTM B435; ASTM B670; ASTM B443; ASTM B424; ASTM B409; ASTM B463
Никель,Трубы,Никель,"Кат1=Никель: inconel, monel, hastelloy, incoloy, nimonic; alloy 200/400/600/625/718/800/825; UNS Nxxxxx; никелевый   •   форма (Кат2): труба, pipe, tube",63,Стандарт — семейство,ASTM,Конкретный стандарт,ASTM B165; ASTM B167; ASTM B444; ASTM B163; ASTM B161; ASTM B622; ASTM B407; ASTM B705; ASTM B725; По чертежу; ASTM B423
Никель,Трубы,Медь-никель,"Кат1=Никель: cu-ni, cuni, медно-никел   •   форма (Кат2): труба, pipe, tube",61,Стандарт — семейство,DIN; EN; ASTM,Конкретный стандарт,DIN 86019; DIN 86018; EN 12451; ASTM B466; EN 12449
Никель,Фитинги,Никель,"Кат1=Никель: inconel, monel, hastelloy, incoloy, nimonic; alloy 200/400/600/625/718/800/825; UNS Nxxxxx; никелевый   •   форма (Кат2): фитинг, отвод, тройник, переход…",34,Стандарт — семейство,ASME; MSS,Конкретный стандарт,ASME B16.9; ASME B16.11; MSS SP-97
Никель,Фитинги,Медь-никель,"Кат1=Никель: cu-ni, cuni, медно-никел   •   форма (Кат2): фитинг, отвод, тройник, переход…",2,Стандарт — семейство,—,Конкретный стандарт,—
Никель,Фланцы,Никель,"Кат1=Никель: inconel, monel, hastelloy, incoloy, nimonic; alloy 200/400/600/625/718/800/825; UNS Nxxxxx; никелевый   •   форма (Кат2): фланц, wn, so, lj…",17,Стандарт — семейство,EN; ASME,Конкретный стандарт,EN 1092-1; ASME B16.5; ASME B16.48; ASME B16.20
Никель,Фланцы,Медь-никель,"Кат1=Никель: cu-ni, cuni, медно-никел   •   форма (Кат2): фланц, wn, so, lj…",5,Стандарт — семейство,DIN; EN,Конкретный стандарт,DIN 86037; DIN 86285; EN 1092-1; По чертежу
Никель,Крепежные изделия,Никель,"Кат1=Никель: inconel, monel, hastelloy, incoloy, nimonic; alloy 200/400/600/625/718/800/825; UNS Nxxxxx; никелевый   •   форма (Кат2): болт, гайк, шпильк, шайб…",19,Стандарт — семейство,ASME; DIN; ASTM,Конкретный стандарт,ASME B18.31.2; DIN 933; ASME B 18.2.1; По чертежу; DIN 934; DIN 935; ASME B 18.2.2; ASTM B637
Никель,Прочее,Никель,"Кат1=Никель: inconel, monel, hastelloy, incoloy, nimonic; alloy 200/400/600/625/718/800/825; UNS Nxxxxx; никелевый   •   форма (Кат2): нераспознанное",15,Стандарт — семейство,ASME,Конкретный стандарт,ASME B16.9; По чертежу
Никель,Трубопроводная арматура (ТПА),Никель,"Кат1=Никель: inconel, monel, hastelloy, incoloy, nimonic; alloy 200/400/600/625/718/800/825; UNS Nxxxxx; никелевый   •   форма (Кат2): клапан, кран, задвиж, затвор",7,Стандарт — семейство,API,Конкретный стандарт,API RP520
Никель,Поковка (заготовка),Никель,"Кат1=Никель: inconel, monel, hastelloy, incoloy, nimonic; alloy 200/400/600/625/718/800/825; UNS Nxxxxx; никелевый   •   форма (Кат2): поковк, forging, заготовк",4,Стандарт — семейство,EN,Конкретный стандарт,EN 10302
Никель,"Листовой прокат (лист, лента, рулон)",Никель,"Кат1=Никель: inconel, monel, hastelloy, incoloy, nimonic; alloy 200/400/600/625/718/800/825; UNS Nxxxxx; никелевый   •   форма (Кат2): лист, лент, рулон",3,Стандарт — семейство,ASTM,Конкретный стандарт,ASTM B127
Никель,Рулон,Никель,"Кат1=Никель: inconel, monel, hastelloy, incoloy, nimonic; alloy 200/400/600/625/718/800/825; UNS Nxxxxx; никелевый   •   форма (Кат2): рулон, coil",2,Стандарт — семейство,ASTM,Конкретный стандарт,ASTM B443
Цветной металл,Трубы,Медь,"подтип (Кат3): медь, copper, Cu   •   форма (Кат2): труба, pipe, tube",47,Стандарт — семейство,EN; JIS; ASTM,Конкретный стандарт,EN 12735-1; EN 12735-2; JIS H3300; ASTM B280; EN 12449
Цветной металл,Трубы,Алюминий,"подтип (Кат3): алюмин, aluminium, AL-марки (5083/6061…)   •   форма (Кат2): труба, pipe, tube",16,Стандарт — семейство,—,Конкретный стандарт,—
Цветной металл,Трубы,Бронза,"подтип (Кат3): бронза, bronze   •   форма (Кат2): труба, pipe, tube",5,Стандарт — семейство,ASTM,Конкретный стандарт,ASTM B643
Цветной металл,Трубы,Бериллий,"подтип (Кат3): берилл, beryllium   •   форма (Кат2): труба, pipe, tube",1,Стандарт — семейство,ASTM,Конкретный стандарт,ASTM B643
Цветной металл,Лист,Алюминий,"подтип (Кат3): алюмин, aluminium, AL-марки (5083/6061…)   •   форма (Кат2): лист",21,Стандарт — семейство,—,Конкретный стандарт,—
Цветной металл,Лист,Титан,"подтип (Кат3): титан, ВТ-марки, Ti-6Al-4V, titanium grade   •   форма (Кат2): лист",2,Стандарт — семейство,ASTM,Конкретный стандарт,ASTM B265
Цветной металл,Крепежные изделия,Титан,"подтип (Кат3): титан, ВТ-марки, Ti-6Al-4V, titanium grade   •   форма (Кат2): болт, гайк, шпильк, шайб…",14,Стандарт — семейство,ASME,Конкретный стандарт,ASME B18.2.4.1; ASME B18.3.1; ASME B18.2.3.5; ASME B18.2.6; ASME B18.21.2
Цветной металл,Прутки,Алюминий,"подтип (Кат3): алюмин, aluminium, AL-марки (5083/6061…)   •   форма (Кат2): прут, круг",5,Стандарт — семейство,—,Конкретный стандарт,—
Цветной металл,Прутки,Медь,"подтип (Кат3): медь, copper, Cu   •   форма (Кат2): прут, круг",2,Стандарт — семейство,JIS,Конкретный стандарт,JIS G3101
Цветной металл,Прутки,Латунь,"подтип (Кат3): латунь, brass   •   форма (Кат2): прут, круг",1,Стандарт — семейство,—,Конкретный стандарт,—
Цветной металл,Прутки,Титан,"подтип (Кат3): титан, ВТ-марки, Ti-6Al-4V, titanium grade   •   форма (Кат2): прут, круг",1,Стандарт — семейство,ASTM,Конкретный стандарт,ASTM B265
Цветной металл,Фитинги,Латунь,"подтип (Кат3): латунь, brass   •   форма (Кат2): фитинг, отвод, тройник, переход…",2,Стандарт — семейство,—,Конкретный стандарт,—
Цветной металл,Фитинги,Медь,"подтип (Кат3): медь, copper, Cu   •   форма (Кат2): фитинг, отвод, тройник, переход…",2,Стандарт — семейство,JIS,Конкретный стандарт,JIS H3300
Цветной металл,Фитинги,Титан,"подтип (Кат3): титан, ВТ-марки, Ti-6Al-4V, titanium grade   •   форма (Кат2): фитинг, отвод, тройник, переход…",2,Стандарт — семейство,MSS,Конкретный стандарт,MSS SP-97
Цветной металл,"Листовой прокат (лист, лента, рулон)",Алюминий,"подтип (Кат3): алюмин, aluminium, AL-марки (5083/6061…)   •   форма (Кат2): лист, лент, рулон",4,Стандарт — семейство,—,Конкретный стандарт,—
Цветной металл,Поковка (заготовка),Медь,"подтип (Кат3): медь, copper, Cu   •   форма (Кат2): поковк, forging, заготовк",4,Стандарт — семейство,—,Конкретный стандарт,—
Цветной металл,Фланцы,Титан,"подтип (Кат3): титан, ВТ-марки, Ti-6Al-4V, titanium grade   •   форма (Кат2): фланц, wn, so, lj…",4,Стандарт — семейство,ASME,Конкретный стандарт,ASME B16.5
Цветной металл,Лента,Бериллий,"подтип (Кат3): берилл, beryllium   •   форма (Кат2): лент",2,Стандарт — семейство,EN,Конкретный стандарт,EN 1654
ГОСТ,Крепежные изделия,Черный,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): болт, гайк, шпильк, шайб…   •   металл: уровень «1_Черный» / по умолчанию",128,Стандарт — семейство,ГОСТ,Конкретный стандарт,ГОСТ 7798-70; ГОСТ 17473-80; ГОСТ 17475-80; ГОСТ 7802-81; ГОСТ 22043-76; DIN 439; ГОСТ 6402-70; ГОСТ 22042-76; ГОСТ 11644-75; ГОСТ 11650-80; ГОСТ 5915-70
ГОСТ,Крепежные изделия,Нержавеющий,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): болт, гайк, шпильк, шайб…   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",56,Стандарт — семейство,ГОСТ,Конкретный стандарт,DIN 934; ГОСТ 5915-70; ГОСТ 6402-70; ГОСТ 17475-80
ГОСТ,Трубы,Черный,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): труба, pipe, tube   •   металл: уровень «1_Черный» / по умолчанию",46,Стандарт — семейство,ГОСТ,Конкретный стандарт,ГОСТ 3262-75; ГОСТ 550-75; ГОСТ 8732-78; ГОСТ 18599-2001; ТУ 1-8-267-99; ГОСТ 10704-91; ТУ 14-3-190-2004; ГОСТ 8645-68; ГОСТ 8734-75; ГОСТ 9941-2022
ГОСТ,Трубы,Нержавеющий,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): труба, pipe, tube   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",33,Стандарт — семейство,ГОСТ,Конкретный стандарт,ГОСТ 9941-81; ГОСТ 9941-2022; ГОСТ 9940-72; ГОСТ 9940-81
ГОСТ,Трубы,Титан,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): труба, pipe, tube   •   подтип: Титан",9,Стандарт — семейство,ГОСТ,Конкретный стандарт,ГОСТ 22897-2023; ГОСТ 22897-86
ГОСТ,Трубы,Никель,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): труба, pipe, tube   •   подтип: Никель",1,Стандарт — семейство,ГОСТ,Конкретный стандарт,ТУ-25-00193
ГОСТ,Фланцы,Нержавеющий,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): фланц, wn, so, lj…   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",45,Стандарт — семейство,ГОСТ,Конкретный стандарт,АТК 26-18-5-93; ГОСТ 33259-2015
ГОСТ,Фланцы,Черный,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): фланц, wn, so, lj…   •   металл: уровень «1_Черный» / по умолчанию",38,Стандарт — семейство,ГОСТ,Конкретный стандарт,АТК 26-18-5-93; ГОСТ 33259-2015; ГОСТ 34785-2015; ТУ 24.20.40-049
ГОСТ,Фланцы,Титан,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): фланц, wn, so, lj…   •   подтип: Титан",4,Стандарт — семейство,ГОСТ,Конкретный стандарт,ГОСТ 33259-2015
ГОСТ,Фитинги,Черный,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): фитинг, отвод, тройник, переход…   •   металл: уровень «1_Черный» / по умолчанию",34,Стандарт — семейство,ГОСТ,Конкретный стандарт,ГОСТ 17375-01; ГОСТ 17376-01; По чертежу; ГОСТ 17378-01; ГОСТ 17376-2001; ГОСТ 22826-83; ГОСТ 32528-2013; ГОСТ 17378-2001
ГОСТ,Фитинги,Титан,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): фитинг, отвод, тройник, переход…   •   подтип: Титан",13,Стандарт — семейство,ГОСТ,Конкретный стандарт,ГОСТ 17375-01; ГОСТ 17378-01; ГОСТ 17376-01
ГОСТ,Фитинги,Нержавеющий,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): фитинг, отвод, тройник, переход…   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",7,Стандарт — семейство,ГОСТ,Конкретный стандарт,ГОСТ 17378-01; ТУ 1468-001-17192736-01
ГОСТ,Фитинги,Латунь,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): фитинг, отвод, тройник, переход…   •   подтип: Латунь",1,Стандарт — семейство,ГОСТ,Конкретный стандарт,ГОСТ 22793-83
ГОСТ,Фитинги,Никель,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): фитинг, отвод, тройник, переход…   •   подтип: Никель",1,Стандарт — семейство,ГОСТ,Конкретный стандарт,ГОСТ 17375-2001
ГОСТ,Прочее,Черный,триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): нераспознанное   •   металл: уровень «1_Черный» / по умолчанию,14,Стандарт — семейство,ГОСТ,Конкретный стандарт,ГОСТ 4757-91; ГОСТ 24137-80; ГОСТ 35087-2024; ГОСТ 3057-90; ГОСТ 397-79
ГОСТ,Прочее,Алюминий,триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): нераспознанное   •   подтип: Алюминий,3,Стандарт — семейство,ГОСТ,Конкретный стандарт,ГОСТ 21631-2019
ГОСТ,Прочее,Нержавеющий,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): нераспознанное   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",2,Стандарт — семейство,ГОСТ,Конкретный стандарт,ГОСТ 33259-2015; ГОСТ 397-79
ГОСТ,Лист,Титан,триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): лист   •   подтип: Титан,5,Стандарт — семейство,ГОСТ,Конкретный стандарт,ГОСТ 23755-79
ГОСТ,Лист,Нержавеющий,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): лист   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",2,Стандарт — семейство,ГОСТ,Конкретный стандарт,ГОСТ 7350-77; ГОСТ 5520-2017
ГОСТ,Прутки,Черный,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): прут, круг   •   металл: уровень «1_Черный» / по умолчанию",3,Стандарт — семейство,ГОСТ,Конкретный стандарт,ГОСТ 2590-2006
ГОСТ,"Листовой прокат (лист, лента, рулон)",Черный,"триггер группы: слово «ГОСТ» ИЛИ уровень «4_ГОСТ»   •   форма (Кат2): лист, лент, рулон   •   металл: уровень «1_Черный» / по умолчанию",1,Стандарт — семейство,ГОСТ,Конкретный стандарт,ТУ 1-92-161-90
Подшипники,—,—,подшип,114,Стандарт — семейство,—,Конкретный стандарт,—
Лист высокопрочный,—,—,"quend, domex, высокопроч, s690, s700, s960",6,Стандарт — семейство,EN,Конкретный стандарт,EN 10149-2
Прочее,—,—,"крепление для труб, хомут  +  всё нераспознанное (опоры, подвесы, канаты, датчики…)",544,Стандарт — семейство,—,Конкретный стандарт,—
Прочее,—,Нержавеющий,"крепление для труб, хомут  +  всё нераспознанное (опоры, подвесы, канаты, датчики…)",3,Стандарт — семейство,—,Конкретный стандарт,—
